Sales ID,Product Category,Product Name,Product Quantity,Product Salescost,Date Of Sales,Total Amount
1031,Speaker,Jiasound JBL-03,14,8000,2/13/2021,210000
,Speaker,Samsung S-21,14,7000,,
,,,,,,
1032,Speaker,Jiasound JBL-03,5,8000,2/15/2021,149500
,Speaker,Audionic RTX-2,7,7500,,
,Speaker,Sony XG300 X-Series ,6,9500,,
,,,,,,
1033,Tv,Sony Z9J BRAVIA XR,7,97000,2/16/2021,679000
,,,,,,
1034,Refrigerator,Dawlance 547-WB,7,70000,2/17/2021,490000
,,,,,,
1035,Tv,EcoStar LED HD Frameless TV,3,74000,2/17/2021,958000
,Tv,Samsung QN85A Neo QLED 4K Smart TV,8,92000,,
,,,,,,
1036,Tv,EcoStar LED HD Frameless TV,4,74000,2/19/2021,404000
,Refrigerator,Hitachi Double Glass Door FP,1,108000,,
,,,,,,
1037,Tv,Samsung QN85A Neo QLED 4K Smart TV,3,92000,2/20/2021,276000
,,,,,,
1038,Speaker,Audionic RTX-2,2,7500,2/22/2021,342000
,Speaker,Jiasound JBL-03,3,8000,,
,Refrigerator,Hitachi Double Glass Door FP,2,108000,,
,Tv,Samsung Q60A QLED 4K Smart TV,1,87000,,
,,,,,,
1039,Tv,EcoStar LED HD Frameless TV,5,74000,2/22/2021,436500
,Speaker,Sony XG300 X-Series ,7,9500,,
,,,,,,
1040,Tv,Sony Z9J BRAVIA XR,5,97000,2/23/2021,485000
,,,,,,
1041,Tv,Samsung Q60A QLED 4K Smart TV,8,87000,2/25/2021,696000
,,,,,,
1042,Refrigerator,Haier Glass Door HRF-291,1,79000,2/27/2021,79000
,,,,,,
1043,Speaker,Audionic RTX-2,11,7500,2/28/2021,82500
,,,,,,
1044,Refrigerator,Dawlance 547-WB,4,70000,3/1/2021,327500
,Speaker,Sony XG300 X-Series ,5,9500,,
,,,,,,
1045,Refrigerator,Haier Glass Door HRF-291,2,79000,3/2/2021,173000
,Speaker,Audionic RTX-2,2,7500,,
,,,,,,
1046,Tv,Sony Z9J BRAVIA XR,6,97000,3/2/2021,582000
,,,,,,
1047,Speaker,Sony XG300 X-Series ,3,9500,3/4/2021,392000
,Tv,EcoStar LED HD Frameless TV,4,74000,,
,Speaker,Audionic RTX-2,9,7500,,
,,,,,,
1048,Refrigerator,Hitachi Double Glass Door FP,2,108000,3/5/2021,773000
,Tv,Samsung Q60A QLED 4K Smart TV,3,87000,,
,Tv,EcoStar LED HD Frameless TV,4,74000,,
,,,,,,
1049,Tv,Samsung QN85A Neo QLED 4K Smart TV,6,92000,3/6/2021,552000
,,,,,,
1050,Speaker,Audionic RTX-2,23,7500,3/8/2021,172500
,,,,,,
1051,Speaker,Sony XG300 X-Series ,17,9500,3/9/2021,161500
,,,,,,
1052,Refrigerator,Haier Single Door HDF-24,1,75000,3/10/2021,819500
,Tv,EcoStar LED HD Frameless TV,4,74000,,
,Speaker,Audionic RTX-2,13,7500,,
,Speaker,Sony XG300 X-Series ,4,9500,,
,Tv,Sony Z9J BRAVIA XR,1,97000,,
,Refrigerator,Hitachi Double Glass Door FP,2,108000,,
,,,,,,
1053,Speaker,Jiasound JBL-03,9,8000,3/10/2021,266000
,Tv,Sony Z9J BRAVIA XR,2,97000,,
,,,,,,
1054,Speaker,Jiasound JBL-03,7,8000,3/12/2021,138500
,Speaker,Audionic RTX-2,11,7500,,
,,,,,,
1055,Tv,EcoStar LED HD Frameless TV,11,74000,3/12/2021,814000
,,,,,,
1056,Refrigerator,Hitachi Double Glass Door FP,2,108000,3/13/2021,604000
,Tv,Sony Z9J BRAVIA XR,4,97000,,
,,,,,,
1057,Speaker,Sony XG300 X-Series ,2,9500,3/15/2021,294500
,Tv,EcoStar LED HD Frameless TV,2,74000,,
,Speaker,Audionic RTX-2,17,7500,,
,,,,,,
1058,Tv,Samsung QN85A Neo QLED 4K Smart TV,9,92000,3/15/2021,828000
,,,,,,
1059,Refrigerator,Dawlance 547-WB,6,70000,3/17/2021,458000
,Speaker,Sony XG300 X-Series ,4,9500,,
,,,,,,
1060,Speaker,Sony XG300 X-Series ,5,9500,3/19/2021,121000
,Speaker,Samsung S-21,3,7000,,
,Speaker,Audionic RTX-2,7,7500,,
,,,,,,
1061,Refrigerator,Dawlance 547-WB,3,70000,3/20/2021,666500
,Tv,Sony Z9J BRAVIA XR,3,97000,,
,Speaker,Audionic RTX-2,3,7500,,
,Speaker,Sony XG300 X-Series ,4,9500,,
,Refrigerator,Dawlance 547-WB,1,70000,,
,Speaker,Samsung S-21,5,7000,,
,,,,,,
1062,Refrigerator,Haier Single Door HDF-24,3,75000,3/22/2021,225000
,,,,,,
1063,Refrigerator,Hitachi Double Glass Door FP,2,108000,3/24/2021,216000
,,,,,,
1064,Refrigerator,Hitachi Double Glass Door FP,1,108000,3/25/2021,164000
,Speaker,Jiasound JBL-03,7,8000,,
,,,,,,
1065,Tv,EcoStar LED HD Frameless TV,4,74000,3/28/2021,584500
,Tv,Samsung QN85A Neo QLED 4K Smart TV,2,92000,,
,Speaker,Sony XG300 X-Series ,11,9500,,
,,,,,,
1066,Speaker,Jiasound JBL-03,4,8000,4/1/2021,226000
,Tv,Sony Z9J BRAVIA XR,2,97000,,
,,,,,,
1067,Speaker,Samsung S-21,7,7000,4/2/2021,325000
,Tv,Samsung QN85A Neo QLED 4K Smart TV,3,92000,,
,,,,,,
1068,Tv,EcoStar LED HD Frameless TV,2,74000,4/3/2021,148000
,,,,,,
1069,Refrigerator,Hitachi Double Glass Door FP,4,108000,4/3/2021,432000
,,,,,,
1070,Speaker,Audionic RTX-2,7,7500,4/5/2021,953500
,Refrigerator,Haier Glass Door HRF-291,4,79000,,
,Refrigerator,Hitachi Double Glass Door FP,3,108000,,
,Tv,Samsung Q60A QLED 4K Smart TV,3,87000,,
,,,,,,
1071,Speaker,Sony XG300 X-Series ,3,9500,4/5/2021,883500
,Tv,Samsung Q60A QLED 4K Smart TV,5,87000,,
,Refrigerator,Dawlance 547-WB,6,70000,,
,,,,,,
1072,Speaker,Jiasound JBL-03,3,8000,4/6/2021,139000
,Speaker,Audionic RTX-2,9,7500,,
,Speaker,Sony XG300 X-Series ,5,9500,,
,,,,,,
1073,Speaker,Jiasound JBL-03,29,8000,4/7/2021,232000
,,,,,,
1074,Tv,Sony Z9J BRAVIA XR,4,97000,4/8/2021,549500
,Speaker,Sony XG300 X-Series ,17,9500,,
,,,,,,
1075,Refrigerator,Dawlance 547-WB,3,70000,4/9/2021,255000
,Speaker,Audionic RTX-2,6,7500,,
,,,,,,
1076,Tv,EcoStar LED HD Frameless TV,7,74000,4/9/2021,518000
,,,,,,
1077,Speaker,Samsung S-21,3,7000,4/10/2021,560500
,Speaker,Sony XG300 X-Series ,13,9500,,
,Tv,EcoStar LED HD Frameless TV,3,74000,,
,Tv,Sony Z9J BRAVIA XR,2,97000,,
,,,,,,
1078,Speaker,Samsung S-21,4,7000,4/12/2021,253000
,Refrigerator,Haier Single Door HDF-24,3,75000,,
,,,,,,
1079,Tv,Samsung QN85A Neo QLED 4K Smart TV,2,92000,4/12/2021,832000
,Refrigerator,Hitachi Double Glass Door FP,6,108000,,
,,,,,,
1080,Tv,Sony Z9J BRAVIA XR,5,97000,4/13/2021,1129000
,Tv,Samsung QN85A Neo QLED 4K Smart TV,7,92000,,
,,,,,,
1081,Speaker,Jiasound JBL-03,32,8000,4/14/2021,256000
,,,,,,
1082,Speaker,Samsung S-21,21,7000,4/15/2021,274500
,Speaker,Audionic RTX-2,17,7500,,
,,,,,,
1083,Tv,Sony Z9J BRAVIA XR,9,97000,4/16/2021,873000
,,,,,,
1084,Tv,EcoStar LED HD Frameless TV,12,74000,4/17/2021,888000
,,,,,,
1085,Refrigerator,Haier Single Door HDF-24,7,75000,4/17/2021,525000
,,,,,,
1086,Refrigerator,Dawlance 547-WB,4,70000,4/19/2021,778000
,Tv,Samsung Q60A QLED 4K Smart TV,2,87000,,
,Refrigerator,Hitachi Double Glass Door FP,3,108000,,
,,,,,,
1087,Tv,Samsung QN85A Neo QLED 4K Smart TV,9,92000,4/20/2021,828000
,,,,,,
1088,Speaker,Audionic RTX-2,14,7500,4/21/2021,105000
,,,,,,
1089,Speaker,Sony XG300 X-Series ,6,9500,4/22/2021,57000
,,,,,,
1090,Refrigerator,Haier Single Door HDF-24,2,75000,4/23/2021,1039000
,Tv,EcoStar LED HD Frameless TV,3,74000,,
,Speaker,Audionic RTX-2,11,7500,,
,Speaker,Sony XG300 X-Series ,7,9500,,
,Tv,Sony Z9J BRAVIA XR,2,97000,,
,Refrigerator,Hitachi Double Glass Door FP,3,108000,,
,,,,,,
1091,Speaker,Jiasound JBL-03,5,8000,4/24/2021,428000
,Tv,Sony Z9J BRAVIA XR,4,97000,,
,,,,,,
1092,Speaker,Audionic RTX-2,8,7500,4/26/2021,60000
,,,,,,
1093,Refrigerator,Haier Single Door HDF-24,3,75000,4/28/2021,841000
,Tv,Samsung QN85A Neo QLED 4K Smart TV,2,92000,,
,Refrigerator,Hitachi Double Glass Door FP,4,108000,,
,,,,,,
1094,Speaker,Audionic RTX-2,5,7500,4/29/2021,623500
,Speaker,Jiasound JBL-03,17,8000,,
,Tv,Samsung QN85A Neo QLED 4K Smart TV,3,92000,,
,Tv,Samsung Q60A QLED 4K Smart TV,2,87000,,
,,,,,,
1095,Tv,Sony Z9J BRAVIA XR,11,97000,5/1/2021,1067000
,,,,,,
1096,Refrigerator,Dawlance 547-WB,13,70000,5/1/2021,910000
,,,,,,
1097,Tv,EcoStar LED HD Frameless TV,6,74000,5/1/2021,996000
,Tv,Samsung QN85A Neo QLED 4K Smart TV,6,92000,,
,,,,,,
1098,Tv,Sony Z9J BRAVIA XR,3,97000,5/3/2021,291000
,,,,,,
1099,Tv,Samsung Q60A QLED 4K Smart TV,2,87000,5/3/2021,174000
,,,,,,
1100,Refrigerator,Haier Glass Door HRF-291,5,79000,5/4/2021,395000
,,,,,,
1101,Speaker,Audionic RTX-2,25,7500,5/5/2021,187500
,,,,,,
1102,Tv,Samsung Q60A QLED 4K Smart TV,9,87000,5/6/2021,783000
,,,,,,
1103,Speaker,Sony XG300 X-Series ,2,9500,5/7/2021,238000
,Tv,Samsung Q60A QLED 4K Smart TV,2,87000,,
,Speaker,Audionic RTX-2,6,7500,,
,,,,,,
1104,Refrigerator,Hitachi Double Glass Door FP,4,108000,5/7/2021,838000
,Tv,Samsung QN85A Neo QLED 4K Smart TV,2,92000,,
,Tv,EcoStar LED HD Frameless TV,3,74000,,
,,,,,,
1105,Tv,Samsung QN85A Neo QLED 4K Smart TV,7,92000,5/8/2021,644000
,,,,,,
1106,Speaker,Sony XG300 X-Series ,6,9500,5/8/2021,257500
,Tv,EcoStar LED HD Frameless TV,2,74000,,
,Speaker,Audionic RTX-2,7,7500,,
,,,,,,
1107,Refrigerator,Hitachi Double Glass Door FP,4,108000,5/9/2021,1189000
,Tv,Samsung Q60A QLED 4K Smart TV,7,87000,,
,Tv,EcoStar LED HD Frameless TV,2,74000,,
,,,,,,
1108,Tv,Samsung QN85A Neo QLED 4K Smart TV,8,92000,5/10/2021,736000
,,,,,,
1109,Speaker,Audionic RTX-2,13,7500,5/11/2021,97500
,,,,,,
1110,Speaker,Sony XG300 X-Series ,24,9500,5/12/2021,228000
,,,,,,
1111,Refrigerator,Hitachi Double Glass Door FP,4,108000,5/12/2021,432000
,,,,,,
1112,Tv,Sony Z9J BRAVIA XR,6,97000,5/15/2021,972000
,Tv,Samsung QN85A Neo QLED 4K Smart TV,3,92000,,
,Speaker,Sony XG300 X-Series ,12,9500,,
,,,,,,
1113,Refrigerator,Haier Glass Door HRF-291,6,79000,5/17/2021,1034000
,Refrigerator,Dawlance 547-WB,8,70000,,
,,,,,,
1114,Refrigerator,Dawlance 547-WB,7,70000,5/17/2021,490000
,,,,,,
1115,Speaker,Samsung S-21,7,7000,5/19/2021,124500
,Speaker,Audionic RTX-2,5,7500,,
,Speaker,Sony XG300 X-Series ,4,9500,,
,,,,,,
1116,Tv,Sony Z9J BRAVIA XR,3,97000,5/20/2021,291000
,,,,,,
1117,Tv,EcoStar LED HD Frameless TV,2,74000,5/21/2021,528000
,Speaker,Sony XG300 X-Series ,40,9500,,
,,,,,,
1118,Tv,Sony Z9J BRAVIA XR,4,97000,5/24/2021,388000
,,,,,,
1119,Tv,Samsung Q60A QLED 4K Smart TV,7,87000,5/27/2021,609000
,,,,,,
1120,Refrigerator,Haier Glass Door HRF-291,8,79000,5/29/2021,632000
,,,,,,
1121,Speaker,Audionic RTX-2,34,7500,6/1/2021,255000
,,,,,,
1122,Refrigerator,Haier Glass Door HRF-291,9,79000,6/2/2021,991000
,Refrigerator,Dawlance 547-WB,4,70000,,
,,,,,,
1123,Speaker,Audionic RTX-2,5,7500,6/3/2021,559500
,Speaker,Jiasound JBL-03,4,8000,,
,Refrigerator,Haier Glass Door HRF-291,4,79000,,
,Tv,Samsung Q60A QLED 4K Smart TV,2,87000,,
,,,,,,
1124,Tv,EcoStar LED HD Frameless TV,7,74000,6/3/2021,565500
,Speaker,Sony XG300 X-Series ,5,9500,,
,,,,,,
1125,Refrigerator,Haier Single Door HDF-24,5,75000,6/4/2021,1281000
,Tv,EcoStar LED HD Frameless TV,2,74000,,
,Speaker,Audionic RTX-2,17,7500,,
,Speaker,Sony XG300 X-Series ,13,9500,,
,Tv,Sony Z9J BRAVIA XR,3,97000,,
,Refrigerator,Hitachi Double Glass Door FP,2,108000,,
,,,,,,
1126,Speaker,Jiasound JBL-03,7,8000,6/5/2021,347000
,Tv,Sony Z9J BRAVIA XR,3,97000,,
,,,,,,
1127,Tv,EcoStar LED HD Frameless TV,5,74000,6/7/2021,746500
,Tv,Sony Z9J BRAVIA XR,3,97000,,
,Speaker,Sony XG300 X-Series ,9,9500,,
,,,,,,
1128,Speaker,Jiasound JBL-03,11,8000,6/8/2021,379000
,Tv,Sony Z9J BRAVIA XR,3,97000,,
,,,,,,
1129,Speaker,Samsung S-21,9,7000,6/9/2021,431000
,Tv,Samsung QN85A Neo QLED 4K Smart TV,4,92000,,
,,,,,,
1130,Tv,EcoStar LED HD Frameless TV,7,74000,6/9/2021,518000
,,,,,,
1131,Refrigerator,Hitachi Double Glass Door FP,6,108000,6/9/2021,648000
,,,,,,
1132,Refrigerator,Haier Single Door HDF-24,5,75000,6/10/2021,791000
,Tv,Samsung QN85A Neo QLED 4K Smart TV,1,92000,,
,Refrigerator,Hitachi Double Glass Door FP,3,108000,,
,,,,,,
1133,Tv,Samsung Q60A QLED 4K Smart TV,9,87000,6/12/2021,783000
,,,,,,
1134,Refrigerator,Dawlance 547-WB,7,70000,6/14/2021,537500
,Speaker,Sony XG300 X-Series ,5,9500,,
,,,,,,
1135,Refrigerator,Haier Glass Door HRF-291,,79000,6/14/2021,15000
,Speaker,Audionic RTX-2,2,7500,,
,,,,,,
1136,Tv,Sony Z9J BRAVIA XR,9,97000,6/15/2021,873000
,,,,,,
1137,Tv,Samsung Q60A QLED 4K Smart TV,4,87000,6/16/2021,348000
,,,,,,
1138,Refrigerator,Hitachi Double Glass Door FP,4,108000,6/17/2021,568000
,Speaker,Jiasound JBL-03,17,8000,,
,,,,,,
1139,Refrigerator,Haier Glass Door HRF-291,7,79000,6/17/2021,553000
,,,,,,
1140,Refrigerator,Haier Single Door HDF-24,8,75000,6/19/2021,600000
,,,,,,
1141,Refrigerator,Hitachi Double Glass Door FP,2,108000,6/21/2021,566000
,Refrigerator,Dawlance 547-WB,5,70000,,
,,,,,,
1142,Speaker,Samsung S-21,32,7000,6/22/2021,224000
,,,,,,
1143,Speaker,Sony XG300 X-Series ,6,9500,6/22/2021,535000
,Tv,Sony Z9J BRAVIA XR,4,97000,,
,Speaker,Audionic RTX-2,12,7500,,
,,,,,,
1144,Speaker,Jiasound JBL-03,9,8000,6/23/2021,440000
,Tv,Samsung QN85A Neo QLED 4K Smart TV,4,92000,,
,,,,,,
1145,Refrigerator,Haier Single Door HDF-24,4,75000,6/24/2021,1005500
,Tv,EcoStar LED HD Frameless TV,2,74000,,
,Speaker,Audionic RTX-2,18,7500,,
,Speaker,Sony XG300 X-Series ,7,9500,,
,Refrigerator,Dawlance 547-WB,2,70000,,
,Refrigerator,Hitachi Double Glass Door FP,2,108000,,
,,,,,,
1146,Tv,Sony Z9J BRAVIA XR,14,97000,6/25/2021,1358000
,,,,,,
1147,Tv,EcoStar LED HD Frameless TV,15,74000,6/25/2021,1110000
,,,,,,
1148,Refrigerator,Haier Single Door HDF-24,9,75000,6/28/2021,675000
,,,,,,
1149,Speaker,Audionic RTX-2,17,7500,6/29/2021,1065500
,Refrigerator,Haier Glass Door HRF-291,5,79000,,
,Refrigerator,Hitachi Double Glass Door FP,1,108000,,
,Tv,Samsung Q60A QLED 4K Smart TV,5,87000,,
,,,,,,
1150,Speaker,Sony XG300 X-Series ,13,9500,6/30/2021,1012500
,Tv,Samsung Q60A QLED 4K Smart TV,7,87000,,
,Refrigerator,Dawlance 547-WB,4,70000,,
,,,,,,
1151,Refrigerator,Dawlance 547-WB,4,70000,7/1/2021,505000
,Refrigerator,Haier Single Door HDF-24,3,75000,,
,,,,,,
1152,Tv,EcoStar LED HD Frameless TV,5,74000,7/2/2021,490000
,Speaker,Jiasound JBL-03,15,8000,,
,,,,,,
1153,Speaker,Sony XG300 X-Series ,1,9500,7/2/2021,628500
,Refrigerator,Haier Glass Door HRF-291,1,79000,,
,Refrigerator,Hitachi Double Glass Door FP,5,108000,,
,,,,,,
1154,Refrigerator,Dawlance 547-WB,3,70000,7/3/2021,210000
,,,,,,
1154,Tv,Sony Z9J BRAVIA XR,8,97000,7/3/2021,776000
,,,,,,
1156,Refrigerator,Dawlance 547-WB,10,70000,7/3/2021,1300000
,Refrigerator,Haier Single Door HDF-24,8,75000,,
,,,,,,
1157,Tv,Samsung QN85A Neo QLED 4K Smart TV,10,92000,7/4/2021,920000
,,,,,,
1158,Refrigerator,Haier Single Door HDF-24,4,75000,7/5/2021,828000
,Refrigerator,Dawlance 547-WB,6,70000,,
,Refrigerator,Hitachi Double Glass Door FP,1,108000,,
,,,,,,
1159,Speaker,Audionic RTX-2,1,7500,7/5/2021,830500
,Refrigerator,Haier Single Door HDF-24,9,75000,,
,Tv,EcoStar LED HD Frameless TV,2,74000,,
,,,,,,
,,,,,,
1160,Refrigerator,Haier Single Door HDF-24,9,75000,7/6/2021,675000
,,,,,,
1161,Refrigerator,Hitachi Double Glass Door FP,5,108000,7/7/2021,960000
,Refrigerator,Dawlance 547-WB,6,70000,,
,,,,,,
1162,Speaker,Samsung S-21,120,7000,7/7/2021,840000
,,,,,,
1163,Tv,Samsung QN85A Neo QLED 4K Smart TV,6,92000,7/8/2021,552000
,,,,,,
1164,Speaker,Sony XG300 X-Series ,9,9500,7/9/2021,667500
,Speaker,Samsung S-21,6,7000,,
,Refrigerator,Hitachi Double Glass Door FP,5,108000,,
,,,,,,
1165,Speaker,Jiasound JBL-03,6,8000,7/10/2021,232000
,Tv,Samsung QN85A Neo QLED 4K Smart TV,2,92000,,
,,,,,,
1166,Speaker,Sony XG300 X-Series ,4,9500,7/13/2021,
,Refrigerator,Dawlance 547-WB,1,70000,,
,Refrigerator,Hitachi Double Glass Door FP,1,108000,,
,,,,,,
1167,Speaker,Audionic RTX-2,10,7500,7/15/2021,75000
,,,,,,
1168,Refrigerator,Dawlance 547-WB,5,70000,7/18/2021,1873000
,Tv,Samsung Q60A QLED 4K Smart TV,9,87000,,
,Tv,EcoStar LED HD Frameless TV,10,74000,,
,,,,,,
1169,Refrigerator,Haier Glass Door HRF-291,10,79000,7/19/2021,1081000
,Tv,Sony Z9J BRAVIA XR,3,97000,,
,,,,,,
1170,Refrigerator,Hitachi Double Glass Door FP,13,108000,7/20/2021,1404000
,,,,,,
1171,Refrigerator,Hitachi Double Glass Door FP,7,108000,7/22/2021,936000
,Speaker,Samsung S-21,4,7000,,
,Speaker,Sony XG300 X-Series ,16,9500,,
,,,,,,
1172,Refrigerator,Haier Glass Door HRF-291,10,79000,7/22/2021,1560000
,Refrigerator,Dawlance 547-WB,11,70000,,
,,,,,,
1173,Refrigerator,Haier Single Door HDF-24,10,75000,7/22/2021,1149000
,Refrigerator,Dawlance 547-WB,5,70000,,
,Tv,Samsung S-21,7,7000,,
,,,,,,
1174,Refrigerator,Haier Single Door HDF-24,4,75000,7/22/2021,1390000
,Tv,Samsung QN85A Neo QLED 4K Smart TV,3,92000,,
,Tv,EcoStar LED HD Frameless TV,11,74000,,
,,,,,,
1175,Refrigerator,Haier Glass Door HRF-291,10,79000,7/23/2021,898000
,Refrigerator,Hitachi Double Glass Door FP,1,108000,,
,,,,,,
1176,Tv,Samsung Q60A QLED 4K Smart TV,8,87000,7/23/2021,770000
,Tv,EcoStar LED HD Frameless TV,1,74000,,
,,,,,,
1177,Refrigerator,Haier Glass Door HRF-291,9,79000,7/23/2021,711000
,,,,,,
1178,Speaker,Jiasound JBL-03,1,8000,7/23/2021,29000
,Speaker,Samsung S-21,3,7000,,
,,,,,,
1179,Refrigerator,Hitachi Double Glass Door FP,5,108000,7/24/2021,1012500
,Speaker,Audionic RTX-2,7,7500,,
,Refrigerator,Dawlance 547-WB,6,70000,,
,,,,,,
1180,Tv,Sony Z9J BRAVIA XR,5,97000,7/24/2021,485000
,,,,,,
1181,Tv,EcoStar LED HD Frameless TV,3,74000,7/26/2021,958000
,Tv,Samsung QN85A Neo QLED 4K Smart TV,8,92000,,
,,,,,,
1182,Tv,EcoStar LED HD Frameless TV,4,74000,7/27/2021,404000
,Refrigerator,Hitachi Double Glass Door FP,1,108000,,
,,,,,,
1183,Refrigerator,Dawlance 547-WB,2,70000,7/28/2021,380000
,Speaker,Jiasound JBL-03,3,8000,,
,Refrigerator,Hitachi Double Glass Door FP,2,108000,,
,,,,,,
1184,Refrigerator,Hitachi Double Glass Door FP,5,108000,7/30/2021,587500
,Speaker,Sony XG300 X-Series ,5,9500,,
,,,,,,
1185,Tv,Sony Z9J BRAVIA XR,15,97000,7/30/2021,1455000
,,,,,,
1186,Speaker,Audionic RTX-2,2,7500,8/1/2021,15000
,,,,,,
1187,Speaker,Sony XG300 X-Series ,30,9500,8/2/2021,285000
,,,,,,
1188,Speaker,Audionic RTX-2,11,7500,8/2/2021,82500
,,,,,,
1189,Refrigerator,Dawlance 547-WB,4,70000,8/2/2021,327500
,Speaker,Sony XG300 X-Series ,5,9500,,
,,,,,,
1190,Refrigerator,Haier Glass Door HRF-291,2,79000,8/3/2021,618000
,Tv,Samsung QN85A Neo QLED 4K Smart TV,5,92000,,
,,,,,,
1191,Speaker,Samsung S-21,12,7000,8/3/2021,141000
,Speaker,Sony XG300 X-Series ,6,9500,,
,,,,,,
1192,Speaker,Samsung S-21,5,7000,8/3/2021,219000
,Tv,Samsung QN85A Neo QLED 4K Smart TV,2,92000,,
,,,,,,
1193,Tv,Sony Z9J BRAVIA XR,2,97000,8/4/2021,994500
,Tv,Samsung Q60A QLED 4K Smart TV,8,87000,,
,Speaker,Sony XG300 X-Series ,11,9500,,
,,,,,,
1194,Speaker,Samsung S-21,5,7000,8/6/2021,936000
,Tv,Samsung QN85A Neo QLED 4K Smart TV,4,92000,,
,Refrigerator,Haier Glass Door HRF-291,3,79000,,
